feature,importance
branch_length,0.5162544362504912
mean_child_branch_length,0.10690361809504231
depth,0.06532174540519188
subtree_fraction,0.05362196242348779
std_child_branch_length,0.051614294084583616
n_leaves_subtree,0.050428003536320085
gc_std_clade,0.024912330712807837
gap_fraction_global,0.019815112211238883
subtree_balance,0.019763933623403906
gc_std_global,0.01839440773463634
variable_site_fraction_global,0.018116996092899164
mean_pairwise_pdist_clade,0.01622998725316731
gc_mean_clade,0.011062316055140414
gap_fraction_clade,0.009915973423768614
gc_mean_global,0.009046315161150847
alignment_length,0.005607523230265253
taxa_count,0.002991044706404567
