feature,importance
branch_length,0.5567816414100655
mean_child_branch_length,0.08701008511152537
n_leaves_subtree,0.04238116973213411
std_child_branch_length,0.041514736591586776
deep_node,0.03227034050946172
depth,0.03167991314254697
subtree_fraction,0.024910015537507844
gap_fraction_global,0.022403437167769123
gc_std_clade,0.022053881570322648
mean_pairwise_pdist_clade,0.020157520961738864
gc_std_global,0.0190072067398837
tiny_clade,0.016639743325697638
gc_mean_global,0.015653729090483865
bl_cv,0.01496863316565304
gc_mean_clade,0.009599214545606463
subtree_balance,0.009346327987599002
variable_site_fraction_global,0.008786441335307208
gap_fraction_clade,0.008753376783476317
gap_var_clade,0.005739787067918506
alignment_length,0.005335139708526587
taxa_count,0.005007658515188737
gc_extreme,0.0
