feature,importance
branch_length,0.48238690096618214
mean_child_branch_length,0.16509584570778918
std_child_branch_length,0.12590335251356635
depth,0.0743285229909954
gap_fraction_global,0.03660552927096464
n_leaves_subtree,0.029715703648779047
subtree_balance,0.029476068832947146
subtree_fraction,0.028386764480346865
gc_std_global,0.011090054760188236
gc_mean_global,0.010019403239031478
variable_site_fraction_global,0.00687242226240881
alignment_length,0.00011943132680053367
taxa_count,0.0
gap_fraction_clade,0.0
gc_mean_clade,0.0
gc_std_clade,0.0
mean_pairwise_pdist_clade,0.0
