dataset_id,node_id,target_bootstrap,branch_length,depth,n_leaves_subtree,subtree_fraction,subtree_balance,mean_child_branch_length,std_child_branch_length,taxa_count,alignment_length,gap_fraction_global,gc_mean_global,gc_std_global,variable_site_fraction_global,gap_fraction_clade,gc_mean_clade,gc_std_clade,mean_pairwise_pdist_clade
dt001,dt001_node_0,63.0,0.0514832598,0.0514832598,25.0,12.5,0.92,0.0581573203,0.028684904000000004,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_1,72.0,0.0294724163,0.0809556761,24.0,12.0,0.9166666666666666,0.0506580212,0.0006692395000000018,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_2,97.0,0.0499887817,0.1309444578,23.0,11.5,0.9130434782608695,0.02905553795,0.01119790885,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_3,64.0,0.0178576291,0.1488020869,22.0,11.0,0.09090909090909091,0.02194719325,0.0004941727500000007,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_4,89.0,0.0214530205,0.1702551074,12.0,6.0,0.8333333333333334,0.0104743623,0.0104715029,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_5,94.0,0.022441366,0.17124345289999998,10.0,5.0,0.8,0.0068642835,0.00010540149999999993,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_6,69.0,2.8594e-06,0.1702579668,11.0,5.5,0.8181818181818182,0.0009403175,0.0009374974000000001,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_7,66.0,0.006969685,0.17821313789999998,9.0,4.5,0.5555555555555556,0.008251548550000001,0.00824916375,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_8,61.0,0.0018778149,0.1721357817,10.0,5.0,0.8,2.8201e-06,0.0,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_9,37.0,2.3848e-06,0.1782155227,7.0,3.5,0.7142857142857143,0.0024000669,0.00046293980000000016,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_10,98.0,0.0165007123,0.19471385019999998,2.0,1.0,0.0,2.41065e-06,4.0944999999999995e-07,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_11,30.0,2.8201e-06,0.17213860179999999,9.0,4.5,0.3333333333333333,0.0053010835000000004,0.0034008394000000003,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_12,61.0,0.0028630067,0.1810785294,6.0,3.0,0.6666666666666666,0.0013916711500000002,0.00138885105,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_13,67.0,0.0019002441,0.1740388459,6.0,3.0,0.6666666666666666,0.00397522585,0.0021172599500000003,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_14,88.0,0.0087019229,0.18084052469999998,3.0,1.5,0.3333333333333333,0.00165205105,0.00028074565,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
dt001,dt001_node_15,53.0,0.0027805222,0.1838590516,5.0,2.5,0.2,0.00999247645,0.0020175246500000006,2.0,8.0,0.4375,0.5625,0.4375,1.0,,,,
