dataset_id,alignment_file,tree_file,ok,error,n_rows
dt001,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt001\M1263.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt001\tree.contree,True,,24
dt002,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt002\M14005.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt002\tree.contree,True,,8
dt003,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt003\M146.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt003\tree.contree,True,,34
dt004,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt004\M1534.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt004\tree.contree,True,,25
dt005,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt005\M1614.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt005\tree.contree,True,,51
dt007,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt007\M19870.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt007\tree.contree,True,,37
dt008,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt008\M20489.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt008\tree.contree,True,,37
dt009,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt009\M22687.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt009\tree.contree,True,,60
dt010,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt010\M22842.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt010\tree.contree,True,,14
dt011,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt011\M23990.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt011\tree.contree,True,,33
dt012,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt012\M2406.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt012\tree.contree,True,,21
dt015,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt015\M3052.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt015\tree.contree,True,,41
dt017,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt017\M3101.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt017\tree.contree,True,,62
dt018,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt018\M3141.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt018\tree.contree,True,,44
dt019,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt019\M35108.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt019\tree.contree,True,,18
dt020,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt020\M35566.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt020\tree.contree,True,,24
dt021,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt021\M3574.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt021\tree.contree,True,,24
dt022,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt022\M3591.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt022\tree.contree,True,,15
dt023,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt023\M3630.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt023\tree.contree,True,,34
dt024,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt024\M40326.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt024\tree.contree,True,,43
dt025,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt025\M45010.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt025\tree.contree,True,,13
dt026,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt026\M4541.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt026\tree.contree,True,,71
dt027,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt027\M459.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt027\tree.contree,True,,25
dt028,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt028\M4744.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt028\tree.contree,True,,33
dt030,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt030\M55164.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt030\tree.contree,True,,63
dt031,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt031\M55575.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt031\tree.contree,True,,43
dt032,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt032\M5734.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt032\tree.contree,True,,60
dt033,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt033\M58514.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt033\tree.contree,True,,55
dt034,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt034\M59389.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt034\tree.contree,True,,4
dt035,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt035\M7941.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt035\tree.contree,True,,22
dt036,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt036\M8624.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt036\tree.contree,True,,71
dt037,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt037\M9381.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt037\tree.contree,True,,4
dt038,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt038\M9700.nex,c:\GitHubMain\GraduateWork\ml2\datasets_iqtree\dt038\tree.contree,True,,7
