feature,importance
relative_branch_length,0.33499754435255535
branch_length,0.20620400940246264
depth_ratio,0.08762318667085152
mean_child_branch_length,0.07977737595853251
clade_size_log,0.06314321199525967
depth,0.057960955729937334
gap_fraction_global,0.02917257372231521
std_child_branch_length,0.02760422856404469
gc_mean_global,0.020089098435462263
subtree_fraction,0.01568739969086232
variable_site_fraction_global,0.015282233072429603
mean_pairwise_pdist_clade,0.01339546513321745
gap_fraction_clade,0.011877641755124011
subtree_balance,0.010879707499035966
gc_std_clade,0.008531722784040139
gc_mean_clade,0.007248876849817545
gc_std_global,0.005798211120628485
taxa_count,0.0029928064973330825
alignment_length,0.001733750766090185
n_children,0.0
