dataset_id,alignment_file,tree_file,ok,error,n_rows
dt1,c:\GitHubMain\GraduateWork\ml5\datasets\dt1\1_1563290054_Physarales_SSU_EF1A_COI_20190525_final2.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt1\Newick Export.nwk,True,,29
dt10,c:\GitHubMain\GraduateWork\ml5\datasets\dt10\M22842.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt10\Newick Export.nwk,True,,14
dt11,c:\GitHubMain\GraduateWork\ml5\datasets\dt11\M4155.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt11\Newick Export.nwk,True,,37
dt12,c:\GitHubMain\GraduateWork\ml5\datasets\dt12\M416.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt12\Newick Export.nwk,True,,18
dt13,c:\GitHubMain\GraduateWork\ml5\datasets\dt13\M2406.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt13\Newick Export.nwk,True,,28
dt14,c:\GitHubMain\GraduateWork\ml5\datasets\dt14\M1710.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt14\Newick Export.nwk,True,,34
dt15,c:\GitHubMain\GraduateWork\ml5\datasets\dt15\M3730.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt15\Newick Export.nwk,True,,42
dt16,c:\GitHubMain\GraduateWork\ml5\datasets\dt16\M3672.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt16\Newick Export.nwk,True,,41
dt17,c:\GitHubMain\GraduateWork\ml5\datasets\dt17\M2859.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt17\Newick Export.nwk,True,,51
dt18,c:\GitHubMain\GraduateWork\ml5\datasets\dt18\M9700.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt18\Newick Export.nwk,True,,7
dt19,c:\GitHubMain\GraduateWork\ml5\datasets\dt19\M14005.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt19\Newick Export.nwk,True,,10
dt2,c:\GitHubMain\GraduateWork\ml5\datasets\dt2\M3785.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt2\Newick Export.nwk,True,,44
dt20,c:\GitHubMain\GraduateWork\ml5\datasets\dt20\M35566.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt20\Newick Export.nwk,True,,24
dt21,c:\GitHubMain\GraduateWork\ml5\datasets\dt21\M3591.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt21\Newick Export.nwk,True,,15
dt22,c:\GitHubMain\GraduateWork\ml5\datasets\dt22\M40326.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt22\Newick Export.nwk,True,,43
dt23,c:\GitHubMain\GraduateWork\ml5\datasets\dt23\M20489.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt23\Newick Export.nwk,True,,38
dt24,c:\GitHubMain\GraduateWork\ml5\datasets\dt24\M459.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt24\Newick Export.nwk,True,,25
dt25,c:\GitHubMain\GraduateWork\ml5\datasets\dt25\M4744.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt25\Newick Export.nwk,True,,33
dt26,c:\GitHubMain\GraduateWork\ml5\datasets\dt26\M59389.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt26\Newick Export.nwk,True,,4
dt27,c:\GitHubMain\GraduateWork\ml5\datasets\dt27\M9381.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt27\Newick Export.nwk,True,,4
dt28,c:\GitHubMain\GraduateWork\ml5\datasets\dt28\M35108.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt28\Newick Export.nwk,True,,18
dt29,c:\GitHubMain\GraduateWork\ml5\datasets\dt29\M45010.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt29\Newick Export.nwk,True,,13
dt3,c:\GitHubMain\GraduateWork\ml5\datasets\dt3\M146.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt3\Newick Export.nwk,True,,34
dt30,c:\GitHubMain\GraduateWork\ml5\datasets\dt30\M1587.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt30\Newick Export.nwk,True,,15
dt4,c:\GitHubMain\GraduateWork\ml5\datasets\dt4\M1534.nex,c:\GitHubMain\GraduateWork\ml5\datasets\dt4\Newick Export.nwk,True,,25
dt5,c:\GitHubMain\GraduateWork\ml5\datasets\dt5\M2069.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt5\Newick Export.nwk,True,,50
dt6,c:\GitHubMain\GraduateWork\ml5\datasets\dt6\M1772.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt6\Newick Export.nwk,True,,28
dt7,c:\GitHubMain\GraduateWork\ml5\datasets\dt7\M3448.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt7\Newick Export.nwk,True,,26
dt8,c:\GitHubMain\GraduateWork\ml5\datasets\dt8\1_1499518959_Fig.2.Coccidae.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt8\Newick Export.nwk,True,,18
dt9,c:\GitHubMain\GraduateWork\ml5\datasets\dt9\1_1486638727_Agromyziden_28S_COI_CAD_Ende.nexorg,c:\GitHubMain\GraduateWork\ml5\datasets\dt9\Newick Export.nwk,True,,44
