feature,importance
branch_length,0.5317285807217637
gc_std_global,0.08233363314320637
mean_child_branch_length,0.05155544396771766
deep_node,0.040232911110432014
depth,0.037027060186917184
std_child_branch_length,0.03388627034520934
alignment_length,0.03181406317809815
n_leaves_subtree,0.029777820513092614
gc_std_clade,0.027031857060356948
subtree_fraction,0.025637793723297244
gap_fraction_global,0.0173752395886419
bl_cv,0.016539758440804176
variable_site_fraction_global,0.015311929844123667
subtree_balance,0.01291494664871044
mean_pairwise_pdist_clade,0.010855700152131558
gc_mean_global,0.009819109537522502
gap_fraction_clade,0.007849276735792042
gc_mean_clade,0.006982625975501983
taxa_count,0.005452352774416983
gap_var_clade,0.0035708933274581005
tiny_clade,0.0023027330248054766
gc_extreme,0.0
